EventID,Timestamp,Protocal,Source IP,Source Port,Destination IP,Destination Port
405,2024-12-21 16:48:32,tcp,192.168.43.41,6025,192.168.43.13,34710
406,2024-12-21 16:48:32,tcp,192.168.43.41,8009,192.168.43.13,34710
407,2024-12-21 16:48:32,tcp,192.168.43.41,2103,192.168.43.13,34710
408,2024-12-21 16:48:32,tcp,192.168.43.41,4279,192.168.43.13,34710
409,2024-12-21 16:48:32,tcp,192.168.43.41,1069,192.168.43.13,34710
410,2024-12-21 16:48:32,tcp,192.168.43.41,52869,192.168.43.13,34710
411,2024-12-21 16:48:32,tcp,192.168.43.41,5009,192.168.43.13,34710
412,2024-12-21 16:48:32,tcp,192.168.43.41,10628,192.168.43.13,34710
413,2024-12-21 16:48:32,tcp,192.168.43.41,999,192.168.43.13,34710
414,2024-12-21 16:48:32,tcp,192.168.43.41,5825,192.168.43.13,34710
415,2024-12-21 16:48:32,tcp,192.168.43.41,7004,192.168.43.13,34710
416,2024-12-21 16:48:32,tcp,192.168.43.41,7201,192.168.43.13,34710
417,2024-12-21 16:48:32,tcp,192.168.43.41,900,192.168.43.13,34710
418,2024-12-21 16:48:32,tcp,192.168.43.41,3011,192.168.43.13,34710
419,2024-12-21 16:48:32,tcp,192.168.43.41,2809,192.168.43.13,34710
420,2024-12-21 16:48:32,tcp,192.168.43.41,10616,192.168.43.13,34710
421,2024-12-21 16:48:32,tcp,192.168.43.41,711,192.168.43.13,34710
422,2024-12-21 16:48:32,tcp,192.168.43.41,1011,192.168.43.13,34710
423,2024-12-21 16:48:32,tcp,192.168.43.41,61900,192.168.43.13,34710
424,2024-12-21 16:48:32,tcp,192.168.43.41,631,192.168.43.13,34710
425,2024-12-21 16:48:32,tcp,192.168.43.41,3476,192.168.43.13,34710
426,2024-12-21 16:48:32,tcp,192.168.43.41,2111,192.168.43.13,34710
427,2024-12-21 16:48:32,tcp,192.168.43.41,3689,192.168.43.13,34710
428,2024-12-21 16:48:32,tcp,192.168.43.41,783,192.168.43.13,34710
429,2024-12-21 16:48:32,tcp,192.168.43.41,1494,192.168.43.13,34710
430,2024-12-21 16:48:32,tcp,192.168.43.41,12265,192.168.43.13,34710
431,2024-12-21 16:48:32,tcp,192.168.43.41,2035,192.168.43.13,34710
432,2024-12-21 16:48:32,tcp,192.168.43.41,8093,192.168.43.13,34710
433,2024-12-21 16:48:32,tcp,192.168.43.41,1328,192.168.43.13,34710
434,2024-12-21 16:48:32,tcp,192.168.43.41,2010,192.168.43.13,34710
435,2024-12-21 16:48:32,tcp,192.168.43.41,2068,192.168.43.13,34710
436,2024-12-21 16:48:32,tcp,192.168.43.41,2021,192.168.43.13,34710
